Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Name,Indication,MOA,Economics,Approved,Competition,IP,,Price,31.61,
,Carvykti (ciltacabtagene autoleucel),2L+ MM,Autologous BCMA CART,JNJ,,,,,Shares,182.602077,Q224
,,,,,Phase,,,,MC,5772.05165397,
,LB2102,,Autologous DLL3,NVS,,,,,Cash,1300.0,Q224
,LB1908,,Autologous Claudin 18.2,NVS,,,,,Debt,291.559,Q224
,,,Autologous CD19xCD20xCD22,1,,,,,EV,4763.61065397,
,,,Allogeneic CD19xBCMA,,,,,,,,
,,mCRC,GCC,,,,,,,,
,,MM,BCMA CAR-NK,,,,,,,,
,,MM,BCMA CAR-gammadelta T,,,,,,,,
,,,Allogeneic CD20 CAR-alphabeta T,,,,,,,,
,,,CD19xGPRC5D,,,,,,CEO: Ying Huang,,
