Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Brand Name,"Brilinta, fka AZD-6140",
,Generic Name,ticagrelor,
,Mechanism,"Reversible P2Y12 receptor antagonist - blocks platelet activation and aggregation, similar to Plavix.",
,,  Reversibility is relevant as patients have to re-generate platelets before undergoing surgery.,
,Indication,"prevention of thrombosis, ACS",
,Administration,"oral, BID vs QD for competitors.",
,Competition,"Plavix, Prasugrel",
,Market,15-30% of patients on Plavix are non-responders,
,Clinical Studies,"greater anti-platelet effects than Plavix, wider therapeutic window?",
,,,
,,PLATO - 1 year Phase III pivotal study - n=18000 - Results ESC 2009,
,,9.8% events vs 11.7% for Plavix.,
,,"Higher dyspnea, minor+major bleeds and no North American site benefit.",
,,Higher background rate of aspirin use in US.,
,,Brilinta higher bleeds and no efficacy.,
,,,
,,DISPERSE 2 - p2 study of 6140+aspirin vs Plavix+aspirin in ACS,
,,,"n=990 randomized, 90mg/180mg 6140 bid vs Plavix 75mg qd for 12 weeks"
,,,"similar efficacy by MACE, 10.2% bleeding vs 9.2% for Plavix - tendency towards minor bleeds for 6140"
,,,"10% dyspnea vs 6% for Plavix, also uric acid elevations and bradycardia"
