Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Brand Name,"Nucynta, fka R331333",
,Generic Name,Tapentadol,
,Indication,Chronic Pain,
,Administration,Oral,
,Mechanism,Mu-receptor agonist and norepinephine reuptake inhibitor.,
,Economics,"USA, Canada, Japan licensed from Gruenethal",
,Timeline,10/31/11: Files NDA for Nucynta ER for DPNP.,
,,8/26/2011: FDA approves Nucynta ER.,
,Clinical Trials,,
,,7 Trials at APS,
,,Phase III - Presented at APS meeting 2008,
,,"n=659 vs oxycodone vs placebo, similar efficacy to oxycodone.  Side effects - oxy 26% constipation vs 4%-7% tapentadol (50-75mg).  ",
,,Side Effects,"Constipation - oxy 26%, tapentadol 4-7% (50-75mg)"
,,,"Nausea - oxy 41%, tapentadol 18-21%"
,,,"Vomiting - oxy 31%, tapentadol 7-14%"
,,"n=603, placebo controlled, randomized tapentadol (50,75,100mg), oxycodone 15mg or placebo",
,,,"Primary endpoint was sum of pain intensity differences 48hrs post treatment, secondary at 12, 24, 72 hrs"
,,,All three tapentadol arms had statistically significant pain improvement vs placebo and lower GI side effects that oxycodone
,,,
,How much does oxycodone / oxycontin sell?,,
,Find more info on Gruenethal,,
