Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
Ticker,Name,YTD,MC
WGS,GeneDX,1369.09,1088210238.8
SMMT,Summit Therapeutics,834.48,17671475746.89
PSIX,Power Solutions,771.22,410620974.56
TIL,Instil Bio,769.42,430884236.25
LBPH,Longboard Pharmaceuticals,462.02,1496930653.64
CADL,Candel Therapeutics,412.93,241919218.58
RZLT,Rezolute,411.84,281278401.12
RNA,Avidity Biosciences,391.49,5234585432
QTTB,Q32 Bio,368.48,590688318.28
JANX,Janux Therapeutics,367.85,2618657799.6
AEYE,AudioEye,366.79,300541634.8
ADMA,ADMA Biologics,342.04,4656994883.46
ASTS,AST SpaceMobile,339.47,7138952421.5
HROW,Harrow Inc,301.96,1597442138.88
VKTX,Viking Therapeutics,278.67,7807808214
LUMN,Lumen Technologies,263.93,6771954959.64
REAX,The Real Brokerage,258.13,1041714000
LUNR,Intuitive Machines,258.12,1224571821.9
RCAT,Red Cat Holdings,255.68,235325866.79
CRVS,Corvus Pharmaceuticals,235.8,369678070.71
CATX,Perspective Therapeutics,229.1,892068034.41
CVNA,Carvana,228.39,34774418604.63
ZETA,Zeta Global,228.12,6638481629.7
SG,Sweetgreen,227.52,4242920923.54
SMR,Nuscale Power,225.23,2666230804.3
CRBP,Corbus Pharmaceuticals,223.01,234977269.4
APP,AppLovin,216.41,44396110834.83
ARQT,Arcutis Biotherapeutics,214.24,1186443883.45
ELYM,Eliem Therapeutics,212.22,565317174.09
AKA,AKA Brands,210.06,263198757.12
CLOV,Clover Health,205.64,1447634059.59
JSPR,Jasper Therapeutics,202.66,360243005.64
CAVA,Cava Group,199.65,14723347626.99
,,,
,,,
,,,
TAYD,Taylor Devices,183.51,195662657.98
SNDA,Sonida Senior Living,180.85,503010438.98
VERA,Vera Therapeutics,178.15,2345527508.7
PRAX,Praxis Precision Medicines,176.08,1092237314.19
DYN,Dyne Therapeutics,175.11,3673665198.82
BZFD,Buzzfeed,174,100308443.54
PSNL,Personalis,173.33,378469098.42
EBS,Emergent Biosolutions,172.92,346538387.2
SPRY,ARS Pharmaceuticals,169.53,1431827564.93
DNTH,Dianthus Therapeutics,169.23,821920960
NVAX,Novavax,168.96,2066808879.49
ELTP,Elite Pharmaceuticals,166.41,398444503.82
BYRN,Byrna Technologies,166.04,387207215
