Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Brand Name,Invega,
,Generic Name,paliperidone ER OROS,
,Mechanism,Uses OROS - releases drug into bloodstream over 24-hour period,
,,Similar to risperidone - only differentiated by one hydroxy group - raises IP issues??? - the active metabolite?. Not extensively metabolized by the liver and is excreted largely unchanged through the kidney.,
,Approved,2006-12-19 00:00:00,
,Administration,Oral,
,Indication,"Schizophrenia, bipolar mania, schizoaffective disorder.",
,IP,October 2009. JNJ expects 5 years of Hatch-Waxman exclusivity. 12/19/2011. Injectable in development.,
,Side Effects,"""Less than Risperdal"". QTC on the label?",
,Timeline,Submitted NDA 11/30/2005; PDUFA 9/30/2005; approvable (did not specify new data); filed MAA in May 2006.,
,Regulatory,Filed in EU in May 2006.,
,Price,"9.14 for 3mg/6mg, 13.71 for 9mg.",
,Clinical Studies,>1600 patients,
,,,
,,22% recurrence events vs 52% for placebo. Trial halted early for efficacy,
,,,
,,Paliperidone vs placebo vs olanzapine - March 2004 start n=595,
,,,
,,12/14/2005 press release notes Paliperidone ER presented at scientific meeting.,
,,,discontinuation rates similar to placebo - better than risperdal?
,,,not extensively metabolized by the liver
,,,steady release over 24 hour period
,,,"AE include akathisia, EPS, tachycardia, sinus tachycardia"
,,,
,,"5/23/2006 one study showed 4% discontinuation for placebo, 2% for 3mg, 5% for 9mg and 3% for 15mg.",
,Rx,,
,,2008-10-31 00:00:00,
,,2008-10-24 00:00:00,
,,2008-10-17 00:00:00,16261
,,2008-10-10 00:00:00,16949
,,2008-10-03 00:00:00,17268
,,2008-09-26 00:00:00,15908
,,2008-09-19 00:00:00,16074
,,2008-09-12 00:00:00,16601
,,2008-09-05 00:00:00,16012
,,2008-08-29 00:00:00,16168
,,2008-08-22 00:00:00,15909
,,2008-08-15 00:00:00,16465
