Main,Unnamed: 1,Unnamed: 2
,"Aspect, Alain","Conducted Bell's theoretical experiment and proved quantum paradoxes, won Nobel."
,"Bell, John",Proved QM does not violate locality or realism in 1964.
,"Bohr, Niels","Father of QM, was against Einstein in the sense that he felt QM was complete."
,"Born, Max",QM architect
,"Deutsch, David","In 1985, conjured the Quantum Turing Machine. With Jozsa, found the first algorithm which is faster in QC"
,"Einstein, Albert","Unhappy with QM, wrote the 1935 EPR paper. Conjectured entangled states cannot communicate faster than light (spooky action)"
,"Feynman, Richard",Physicist who conjectured QC
,"Grover, Lou",Found QC search algorithm
,"Heisenberg, Werner","QM architect, eponymous of the famed uncertainty principle. "
,"Pauli, Wolfgang",
,"Podolsky, Boris",One of the EPR authors
,"Poplavskii, RP",Contemplated QC before anyone.
,"Rosen, Nathan",One of the EPR authors
,"Schrodinger, Erwin",QM architect. Came to agree with Einstein and came up with cat example to show QM was incomplete.
,"Shor, Peter",1994 algorithm to factor integers.
,"Simon, Dan",Found QC speedup algorithm after Deutsch.
,"Manin, Yuri",Contemplated QC before anyone according to Kitaev.
