Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,2021.0,2022.0,2023.0,2024.0,Post-AI
,Wealth Management,,,,28400.0,
,IB Advisory,,,,2378.0,
,IB Underwriting,,,,3792.0,
,Equities,,,,12230.0,
,Fixed Income,,,,8418.0,
,Other Securities,,,,1262.0,
,Investment Management,,,,5900.0,
,Revenue,,53668.0,54143.0,61761.0,61761
,Credit Losses,,,,264.0,264
,Compensation,,,,26178.0,13089
,"Brokerage, Clearing Fees",,,,4140.0,4140
,IT,,,,4088.0,2044
,Professional Services,,,,2901.0,725.25
,Occupancy & Eqipment,,,,1905.0,1905
,Marketing/BD,,,,965.0,723.75
,Other,,,,3724.0,3351.6
,Operating Expenses,,,,44165.0,26242.6
,Operating Income,,53668.0,54143.0,17596.0,35518.4
,,,,,,
,Net Income,,11029.0,9087.0,13990.0,
,,,,,,
,,,,,,
,Net Cash,,,,82261.0,
,Cash,,,,265065.0,
,Trading Assets,,,,331884.0,
,Securities for Resale,,,,118565.0,
,Securities Borrowed,,,,123859.0,
,Loans,,,,238153.0,
,Customer,,,,86158.0,
,Goodwill,,,,23159.0,
,Other,,,,28228.0,
,Assets,,,,1215071.0,
,,,,,,
,,,,,,
,Deposits,,,,376007.0,
,Trading Liabilities,,,,153764.0,
,Resell,,,,50067.0,
,Loaned,,,,15226.0,
,Financings,,,,21602.0,
,Customer Payable,,,,175938.0,
,Other,,,,28220.0,
,Debt,,,,288819.0,
,SE,,,,105428.0,
,L+SE,,,,1215071.0,
,,,,,,
,,,,,,
,CFFO,,-6397.0,-33536.0,1362.0,
,CFFI,,-11632.0,-3084.0,-29460.0,
,CFFF,,22714.0,-2726.0,46756.0,
,Rates,,-4283.0,451.0,-2504.0,
,CIC,,402.0,-38895.0,16154.0,
