Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,Brand Name,"Seroquel, XR",,
,Indication,"schizophrenia, bipolar disorder",,
,Mechanism,atypical antipsychotic,,
,Safety,"Less EPS side effects relative to class, more favorable weight gain vs Zyprexa but equal to Risperdal.",,
,Price,7% increase 1/2006,,
,Competition,"Zyprexa, Abilify, Risperidone/Invega",,
,Follow-on,"Seroquel SR will be qd dosing, effect as early as Day 2 and with faster titration.",,
,IP,September 2011 expiry. Pediatric extension applicable.,,
,,June 4 2008 summary judgment hearing with Teva? August 20 2008 30-month stay expiry. Summary judgment granted and no inequitable conduct found.,,
,,Anchen filed P4 in March 2010.,,
,,Sues Osmotica and Torrent 8/2010.,,
,Clinical Studies,BOLDER I and BOLDER II bipolar studies (n=1045). PDUFA 10/30.,,
,,"MDD, GAD",,
,,,,
,,Seroquel SR data at ECP.,,
,,,,
,,,,
,Rx,,TRx,NRx
,,2007-06-01 00:00:00,287913,141565
,,2007-05-25 00:00:00,297841,152431
,,2006-06-01 00:00:00,264850,130220
