Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,Brand Name,"MabThera in Europe, Rituxan in US.",,,,,,,,,,,,,,,,,,,,,,,,,,
,Generic Name,rituximab,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indication,"NHL, CLL, Rheumatoid Arthritis. 1L CLL approved in Europe Q1 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,
,Economics,Genentech/Biogen has US rights.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Market,"21 million people with RA WW, 3m in Europe.",,,,,,,,,,,,,,,,,,,,,,,,,,
,Price,"2.75% increase on 10/1/08, 2.75% increase on 4/1/08.",,,,,,,,,,,,,,,,,,,,,,,,,,
,Pharmacology,8nM CD20,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manufacturing,CHO,,,,,,,,,,,,,,,,,,,,,,,,,,
,Approval,US IV 11/26/1997,,,,,,,,,,,,,,,,,,,,,,,,,,
,Administration,IV. SQ approved.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Safety,"PML risk limits use to TNF-refractory RA, even though 3/100,000 seen with PML and 2 had SLE.",,,,,,,,,,,,,,,,,,,,,,,,,,
,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SERENE Phase III MTX-refractory but TNF-naïve.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"n=509, 500mg, 1000mg or placebo, IV day 1/15 plus MTX.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLL8 Phase III 1L CLL - Met primary endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FCR vs FC n=817,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phase III Rituxan vs TNF-inhibitor in 2L TNF-refractory patients n=300,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DAS 1.55 vs 1.03 for TNF-inhibitor.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REFLEX,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REACH in n=552 R/R CLL Approved in Europe 9/09,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30.6 months vs 20.6 months for Rituxan retreatment vs chemo only.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PRIMA1 1L iNHL maintenance - presents at ASH 2009 n=1217,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PFS primary endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phase III EORTC 20981 Rituxan maintenance vs observation in relapsed iNHL,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52m vs 15m mPFS.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phase II HERMES,,,,,,,,,,,,,,,,,,,,,,,,,,
,,91% reduction in Gd-lesions.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phase II/III RITUXVAS - Rituxan versus Cyclophosphamide in ANCA-Associated Renal Vasculitis - NEJM 2010,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Failed to show superiority on efficacy or safety.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Phase III ""RAVE"" - Rituxan versus Cyclophosphamide for ANCA-Associated Vasculitis - NEJM 2010",,,,,,,,,,,,,,,,,,,,,,,,,,
,,Non-inferior with 64% efficacy vs. 53% for cyclo. AE similar.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SFr millions,Q104,Q204,Q304,Q404,Q105,Q205,Q305,Q405,Q106,Q206,Q306,Q406,Q107,Q207,Q307,Q407,Q108,,FY2001A,FY2002A,FY2003A,FY2004A,2005.0,2006.0,2007.0,2008.0
,,MabThera/ Rituxan ,782,842,880,874,929,1015,1057,1153,1146,1202,1177,1314,1309,1395,1380,1432,1407,,1721.3157894736842,2402,2775,3378,4154.0,4839.0,5516.0,
,,US (DNA),484,514,531,514,540,573,612,672,634,675,650,737,682,742,718,709,675,,1365,1760,1923,2043,2397.0,2696.0,,
,,Japan (Chugai),39,48,49,58,40,52,50,59,41,48,49,56,38,48,49,55,43,,26.31578947368421,70,109,194,201.0,194.0,,
,,Europe (Roche),259,280,300,302,349,390,395,422,471,479,478,521,589,605,613,668,689,,330,572,743,1141,1556.0,1949.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IMS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007-11-01 00:00:00,197,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007-10-01 00:00:00,202,,,,,,,,,,,,,,,,,,,,,,,,,
