Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Name,Indication,Economics,,,,,,,,Price,0.54,
,Pemgarda (pemivibart),Covid-19,Adimab?,,,,,,,,Shares,119.961445,Q424
,VYD2311,,,,,,,,,,MC,64.77918030000001,
,,,,,,,,,,,Cash,69.349,Q324
,,,,,,,,,,,Debt,0.0,Q324
,,,,,,,,,,,EV,-4.5698196999999965,
,,,,,,,,,,,,,
,,,,,,,,,,Founded: 2020,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"LP.8.1, KP.3.1.1 and XEC",,,,,,,,,,,,
