Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,2023-07-01 00:00:00,,,2024-03-30 00:00:00,2024-06-29 00:00:00,,,,,,,,,
,,,,,,,FQ23,FQ423,FQ124,FQ224,FQ324,,F2017,F2018,F2019,F2000,F2021,F2022,F2023,F2024
,Disney+ Domestic,,,,,,,,,54,54.8,,,,,,,,,
,Disney+ Intl,,,,,,,,,63.6,63.5,,,,,,,,,
,Disney+ Total,,,,,,,,,117.6,118.3,,,,,,,,,
,Disney+ Hotstar,,,,,,,,,36,35.5,,,,,,,,,
,Hulu,,,,,,,,,50.2,51.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Linear Networks,,,,,,2872,,,,2663,,,,,,,,,
,DTC,,,,,,5045,,,,5805,,,,,,,,,
,Content Sales,,,,,,2210,,,,2112,,,,,,,,,
,Entertainment,,,,,,10127,,,,10580,,,,,,,,,
,ESPN,,,,,,4058,,,,4279,,,,,,,,,
,Star India,,,,,,277,,,,279,,,,,,,,,
,Sports,,,,,,4335,,,,4558,,,,,,,,,
,Experiences,,,,,,8198,,,,8386,,,,,,,,,
,Services,,,,,19586.0,20008,,,19757,20836,,46843,50869,60579,59265,61768,74200,79562,
,Products,,,,,2229.0,2322,,,2326,2319,,8294,8585,9028,6123,5650,8522,9336,
,Revenue,,,,,21815.0,22330,,,22083,23155,,55137,59454,69607,65388,67418,82722,88898,
,COGS,,,,,14616.0,14471,,,14172,14709,,30306,32726,42061,43880,45131,54401,59201,
,Gross Profit,,,,,7199.0,7859,,,7911,8446,,24831,26728,27546,21508,22287,28321,29697,
,SG&A,,,,,3614.0,2874,,,3790,3872,,8176,8860,11549,12369,13517,16388,15336,
,Operating Income,,,,,3585.0,4985,,,4121,4574,,16655,17868,15997,9139,8770,11933,14361,
,Interest,,,,,0.0,-125,,,-170,-131,,13,-75,-1081,198,-444,-1248,-331,
,Pretax Income,,,,,3585.0,4860,,,3951,4443,,16668,17793,14916,9337,8326,10685,14030,
,Taxes,,,,,418.0,326,,,205,472,,4808,2131,2869,1121,566,2140,2415,
,Net Income,,,,,3167.0,4534,,,3746,3971,,11860,15662,12047,8216,7760,8545,11615,
,EPS,,,,,1.7324945295404814,2.4789502460360855,,,2.0425299890948745,2.1806699615595826,,7.563775510204081,10.448298865910607,7.27475845410628,4.54424778761062,4.273127753303965,4.689901207464325,6.3539387308533914,
,Shares,,,,,1828.0,1829,,,1834,1821,,1568,1499,1656,1808,1816,1822,1828,
,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,,,,,0.35823936965086267,0.3647592312675448,,0.45035094401218784,0.44955764120160124,0.39573606102834485,0.32892885544748274,0.3305793704945267,0.3423635792171369,0.33405700915656145,
,Operating Margin,,,,,,,,,0.18661413757188788,0.1975383286547182,,0.3020657634619221,0.3005348672923605,0.22981884005918946,0.13976570624579435,0.1300839538402207,0.14425424917192525,0.16154469166910393,
,Revenue y/y,,,,,,,,,0.012285124914049872,0.03694581280788167,,,0.0782958811687251,0.17077067985333194,-0.060611720085623544,0.03104545176484974,0.22700169094307165,0.07465970358550322,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,10586,,,,,,,,,
,Accounts Receivable,,,,,,,,,,12966,,,,,,,,,
,Inventories,,,,,,,,,,1984,,,,,,,,,
,Content Advances,,,,,,,,,,1992,,,,,,,,,
,OCA,,,,,,,,,,2597,,,,,,,,,
,Content,,,,,,,,,,32799,,,,,,,,,
,PP&E,,,,,,,,,,36041,,,,,,,,,
,Goodwill,,,,,,,,,,85021,,,,,,,,,
,Other,,,,,,,,,,13786,,,,,,,,,
,Assets,,,,,,,,,,197772,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,,20216,,,,,,,,,
,Debt,,,,,,,,,,47584,,,,,,,,,
,DR,,,,,,,,,,7336,,,,,,,,,
,DT,,,,,,,,,,6628,,,,,,,,,
,OLTL,,,,,,,,,,10705,,,,,,,,,
,S/E,,,,,,,,,,105303,,,,,,,,,
,L+S/E,,,,,,,,,,197772,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,8453,,12343,14295,5984,,,5566,6002,9866
,CapEx,,,,,,,,,,,,3623,4465,4876,,,3578,4943,4969
,FCF,,,,,,,,,,,,8720,9830,1108,,,1988,1059,4897
,,,,,,,,,,,,,,,,,,,,
,Entertainment OI,,,,,,408,,,,1201,,,,,,,,,
,Sports OI,,,,,,854,,,,802,,,,,,,,,
,Experiences OI,,,,,,2297,,,,2222,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Entertainment OM,,,,,,0.040288338106053125,,,,0.11351606805293006,,,,,,,,,
,Sports OM,,,,,,0.1970011534025375,,,,0.17595436594997807,,,,,,,,,
,Experiences OM,,,,,,0.28019029031471093,,,,0.2649654185547341,,,,,,,,,
