Main,Unnamed: 1,Unnamed: 2
,Brand Name,Selzentry
,Generic Name,maraviroc
,Indication,Treatment-experienced HIV.
,Mechanism,CCR-5 inhibitor.
,Administration,Oral
,Competition,"GSK aplaviroc discontinued due to hepatotoxicity. SGP vicriviroc has resistance issues?. INCY program. Isentress, Fuzeon, Panacos"
,Safety,"Cancer, CV and infection concerns. Black box warning regarding hepatotoxicity."
,PK,Poor efficacy at trough serum levels? Requires tropism testing. 
,Price,"$29/day, roughly $10,500/year."
,Timeline,NDA submitted December 2006. Advisory committee 4/24/2007. Approvable 6/20/2007. Approved 7/2007. Launch mid-9/2007.
,Clinical Trials,
,,"MOTIVATE -1, -2 - Treatment-Experienced - Presented at CROI 2007"
,,n=1050 randomized to receive OBT with placebo or maraviroc 150mg qd or bid.
,,-1.83 and 1.95 log vs 1.03 for placebo.
,,Liver-related AE common. QT prolongation in PC. CXCR4 tropism shift. Increase in candidiasis & herpes.
,,
,,
,,Phase III Treatment-Naïve
,,Combination with Combivir.
,,n=500 treatment-naïve.
,,
,,
,,Phase II Rheumatoid Arthritis
,,n=130
