Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Brand Name,Velcade,,,,,,,,,
,Generic Name,bortezomib,,,,,,,,,
,Mechanism,"tripeptide, Proteasome Inhibitor",,,,,,,,,
,Pharmacokinetics,Peak concentration 30 mins.  Drug levels cannot be measured after 1hr.,,,,,,,,,
,Administration,Injection (bolus) 2x wk for 2 wks followed by 10 day rest period.,,,,,,,,,
,Label,http://velcade.com/full_prescrib_velcade.pdf,,,,,,,,,
,Indication,Multiple Myeloma (MM) for patients who received at least one prior therapy.,,,,,,,,,http://www.cancer.org/docroot/CRI/content/CRI_2_4_1X_What_is_multiple_myeloma_30.asp
,,Mantle Cell Lymphoma (MCL) who have received at least one prior therapy.,,,,,,,,,
,IP,"Formulation Patent expires 2022, composition patent expires 2014",,,,,,,,,
,Side Effects,Peripheral Neuropathy in 30% of the patients.  High rate of shingles,,,,,,,,,
,Competition,"Revlimid (CELG), Thalomid (CELG)",,,,,,,,,
,Economics,"JNJ / MLNM partnerhsip?  EU forever, what about US (commission?) will takeda renew?",,,,,,,,,
,Clinical Studies,,,,,,,,,,
,,"Phase III - Open label, relapsed Multiple Myeloma, velcade vs dexamethosone - study stopped early in favor of velcade",,,,,,,,,
,,Median TTP - 6.2 mo vs 3.5 mo for dex (primary endpoint),,,,,,,,,
,,ORR 38% vs 18% for dex,,,,,,,,,
,,"Median number of prior lines of therapy = 2 for both groups, all patients received steroids previously",,,,,,,,,
,,,,,,,,,,,
,`,Enter Revlimid data from CELG,,,,,,,,,
,,,,,,,,,,,
,,Phase III Apex - treatment in patients with relapse?,,,,,,,,,
,,Equally effected in younger and elderly?,,,,,,,,,
,,Adverse incidents comparable across groups,,,,,,,,,
,,,,,,,,,,,
,,"Phase III VISTA (1) study - January 2005 - newly diagnosed patients, n=682",,,,,,,,,
,,Untreated patients that were not eligible for Stem cell transplantation (SCT),,,,,,,,,
,,Finish - http://investor.millennium.com/phoenix.zhtml?c=80159&p=irol-newsmediaArticle&ID=1085399&highlight=,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Phase IV Everest Study - asses M-protein response in patients who previously responded to velcade and relapsed following a treatment free remission,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Other,Mantle Cell Lymphoma International Prognostic Index (MIPI),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,2004,2005.0,2006.0,2007.0,2008.0,,,,,
,OUS,,,,,,,,,,
