Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,Brand Name,Simponi fka CNTO 148,,,,,,,,,,,,,,,,
,Generic Name,golimumab,,,,,,,,,,,,,,,,
,Indication,"Approved for rheumatoid arthritis, psoriatic arthritis and ankylosing spondylitis.",,,,,,,,,,,,,,,,
,Dosing,"50mg SC QM (Humira q2w, Enbrel qw). IV coming?",,,,,,,,,,,,,,,,
,IP,"NCE? 7,521,206 issued in 2009. ABT suing over 7223394.",,,,,,,,,,,,,,,,
,Mechanism,"Human IGG1 MAB to TNF-alpha. Multiple glycoforms result in weight of 150-151 kD. Binds to soluble and transmembrane TNFa, but does not bind lymphotoxin.",,,,,,,,,,,,,,,,
,PK,Tmax 2-6 days. Cmax 2.5ug/mL. Limited extravascular distribution. Terminal 1/2 of 2 weeks. Absolute F of 53%. Steady-state at 12 weeks.,,,,,,,,,,,,,,,,
,Side Effects,"Tubercluosis reactivation (0.23/100 patient years incidence in n=2347 phase II/III experience), lymphoma (0.21/100 patient years). Less dropouts than placebo in Phase III experience.",,,,,,,,,,,,,,,,
,Timeline,Approved in the US 4/29/09. Submitted MAA in March 2008. Positive CHMP opinion June 2009.,,,,,,,,,,,,,,,,
,Papers,"Pharmacokinetics and Safety of Golimumab, a Fully Human Anti-TNF-alpha Monoclonal Antibody, in subjects with Rheumatoid Arthritis. Zhou et al. J Clin Pharm 2007;47:383-396.",,,,,,,,,,,,,,,,
,Economics,SGP partner? MEDX.,,,,,,,,,,,,,,,,
,Clinical Studies,,,,,,,,,,,,,,,,,
,,"Phase III ""T05, RA-3"" - n=637 - RA naïve to methotrexate - ""GO-BEFORE"" - EULAR 2008",,,,,,,,,,,,,,,,
,,MTX alone vs 50mg+MTX vs 100mg+MTX vs 100mg monotherapy. ACR50 at week 24 was the primary endpoint.,,,,,,,,,,,,,,,,
,,50mg missed S.S.: 36% ACR50 for goli+MTX vs 29% for MTX.,,,,,,,,,,,,,,,,
,,"ACR 20% at week 24 was 52% for monotherapy, 49% for MTX monotherapy, 62% for combination.",,,,,,,,,,,,,,,,
,,ACR 50% at week 24 was 29% for MTX and 40% for combination.,,,,,,,,,,,,,,,,
,,ACR 70% at week 24 was 16% for MTX and 24% for combination.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"Phase III ""T06, RA-2, GO-FORWARD"" - n=444 - RA active despite MTX - Keystone et al, Ann Rheum Dis 2009 June;68(6):789-96.",,,,,,,,,,,,,,,,
,,"50mg, 100mg and placebo all with background MTX, or 100mg monotherapy. ACR20 at week 14 was the primary endpoint.",,,,,,,,,,,,,,,,
,,ACR 20 at week 24 for 50mg+MTX was 60% vs 28% for MTX alone (55% and 33% at week 14).,,,,,,,,,,,,,,,,
,,ACR 50 at week 24 for 50mg+MTX was 37% vs 14% for MTX alone (35% and 10% at week 14).,,,,,,,,,,,,,,,,
,,ACR 70 at week 24 for 50mg+MTX was 20% vs 5% for MTX alone (13% and 4% at week 14).,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"Phase III ""T11, RA-1"" - n=461 - TNF-refractory",,,,,,,,,,,,,,,,
,,"50mg, 100mg and placebo. ACR at week 14 was the primary endpoint.",,,,,,,,,,,,,,,,
,,ACR 20 at week 24 for 50mg+MTX was 34% vs 17% for MTX alone (35% and 18% at week 14).,,,,,,,,,,,,,,,,
,,ACR 50 at week 24 for 50mg+MTX was 18% vs 5% for MTX alone (16% and 6% at week 14).,,,,,,,,,,,,,,,,
,,ACR 70 at week 24 for 50mg+MTX was 12% and 3% for MTX alone (10% and 2% at week 14).,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"Phase III ""T08"" - n=405 - Psoriatic Arthritis",,,,,,,,,,,,,,,,
,,ACR20 at week 24 for 50mg+MTX was 52% vs 12% for MTX alone (51% vs 9% at week 14).,,,,,,,,,,,,,,,,
,,ACR50 at week 24 for 50mg+MTX was 32% vs 4% for MTX alone (30% and 2% at week 14).,,,,,,,,,,,,,,,,
,,ACR70 at week 24 for 50mg+MTX was 19% vs 1% for MTX alone (12% vs 1% at week 14).,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"Phase III ""T09"" - n=356 - Ankylosing spondylitis",,,,,,,,,,,,,,,,
,,ASAS response of 59% for 50mg+DMARDS vs 22% for DMARDS alone at week 14.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Phase II - Rheumatoid Arthritis - Published in Arthritis & Rheumatism 2006: 54(9);S833. Kay J et al.,,,,,,,,,,,,,,,,
,,"p2 RA - 62% of goli+MTX had ACR20 at week 16 vs 37% for MTX alone. 31% ACR50, 12% ACR70 (6% and 0% for placebo). 25% achieved remission evaluated by DAS28.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Phase II asthma n=309,,,,,,,,,,,,,,,,
,,Study terminated due to 1 death and 8 malignancies. No efficacy seen at 24 weeks.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Phase II Crohn's,,,,,,,,,,,,,,,,
,,"Doing second phase 2 to identify dose, prioritization is low.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Rx,,,,,,,,,,Simponi,,Cimzia,,Enbrel,,Humira,
,,,Simponi,Enbrel,Humira,Cimzia,NRX,TRX,,,NRX,TRX,NRX,TRX,NRX,TRX,NRX,TRX
,,2009-09-04 00:00:00,,,,,485,972,,August,2128,3798,2706,4558,47515,151017,39653,117098
,,2009-08-28 00:00:00,0.025,0.502,0.417,0.033,547,1016,,July,2220,3169,1460,2407,48809,159874,39453,121735
,,2009-08-21 00:00:00,0.021,0.519,0.414,0.027,464,833,,June,1717,1897,1237,2093,53075,164574,42789,123268
,,2009-08-14 00:00:00,0.021,0.502,0.429,0.029,,,,,,,,,,,,
,,2009-08-07 00:00:00,0.024,0.497,0.431,0.027,,,,,,,,,,,,
,,2009-07-31 00:00:00,0.021,0.528,0.413,0.016,,,,,,,,,,,,
,,2009-07-24 00:00:00,,,,,,,,,,,,,,,,
,,2009-07-17 00:00:00,,,,,,,,,,,,,,,,
,,2009-07-10 00:00:00,,,,,,,,,,,,,,,,
,,2009-07-03 00:00:00,,,,,,,,,,,,,,,,
