Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,Brand Name,Vectibix (fka ABX-EGF),,,,,,,,,,,,
,Generic Name,panitumumab,,,,,,,,,,,,
,Indication,mCRC in patients who have failed prior oxaliplatin- and irinotecan-containing regimens.,,,,,,,,,,,,
,Mechanism,Fully human IgG2 antibody against the EGF receptor. High affinity Kd = 5 X 10^-11 M,,,,,,,,,,,,
,,  KRAS mutations may be a predictive genetic marker.,,,,,,,,,,,,
,Safety,no premedication as opposed to cmab,,,,,,,,,,,,
,,Less than 1% of patients have had infusion reactions compared to 19-28% of cmab patients.,,,,,,,,,,,,
,Dosing,Q2W vs QW for Erbitux,,,,,,,,,,,,
,Guidance,Peak sales of $2B,,,,,,,,,,,,
,Price,"$8,000/mo",,,,,,,,,,,,
,Regulatory,Recommended for approval by EMEA. What date?,,,,,,,,,,,,
,Competition,Sutent 1L CRC study fails.,,,,,,,,,,,,
,Clinical Trials,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"PACCE n=1050, Avastin+- pmab in 1L mCRC",,,,,,,,,,,,,
,Primary endpoint: PFS in avastin+oxali/irino+-pmab,,,,,,,,,,,,,
,Q2W dosing. BOND is a comparable study,,,,,,,,,,,,,
,RR similar between two groups as of week 12 for first 500 patients (Q406 call).,,,,,,,,,,,,,
,"  what % of patients were eligible for surgical resection? '699 study showed that in RR <40%, adding Avastin didn't help RR",,,,,,,,,,,,,
,"n=824 oxali, n=229 irino",,,,,,,,,,,,,
,  25% of events interim data becomes available in Q2 2007,,,,,,,,,,,,,
,"Avastin+IFL has 11 months PFS, Vectibix+FOLFIRI has additional 4m PFS. 15m PFS would be impressive for PACCE.",,,,,,,,,,,,,
,  Stopped early for survival benefit in Avastin alone vs Avastin+Vectibix!,,,,,,,,,,,,,
,,,,,,,,,,JPMorgan,2006,2007,2008,2009
,Phase 3 pivotal US study - n=463 chemo-refractory,,,,,,,,,,93,379,456,550
,46% decrease in tumor progression rate versus control,,,,,,,,,,,,,
,hazard ratio 66%,,avastin hazard ratio 54% in 1L,,,,,,,,,,,
,8% response rate,,,,,,,,,Price Comparison,,source: Genentech -> NYTimes,,
,no survival benefit - may be occluded by crossover confound (intentional?),,,,,,,,,,,,,
,,,,,,,,,,Drug,Mgfr,Indication,Price/Month,
,"PRIME ""203"" - Phase 3 1L mCRC oxali+- pmab n=1183 Data in Q309 (was 09-10)",,,,,,,,,Erbitux,IMCL/BMY,Colorectal,9600,17000 (wikipedia)
,Study began in August 2006. Completed Enrollment of n=1150 in 1/08. PFS primary.,,,,,,,,,Avastin,DNA,Lung,8800,
,Protocol re-written halfway through for KRAS sample testing.,,,,,,,,,,,Breast,7700,
,,,,,,,,,,,,Colorectal,4400,
,"Phase 3 ""181"" 2L mCRC chemo +- pmab n=1100 - currently enrolling as of Q406 - Data in 2009-2010.",,,,,,,,,Gleevec,NVS,Stomach,3816,
,FOLFIRI PFS/OS co-primary n=1100 will complete by Q108,,,,,,,,,Herceptin,DNA,Breast,3195,
,,,,,,,,,,Tarceva,DNA/OSI,Lung,2679,
,Phase 3 adjuvant CRC n=2200 to begin in Q407/Q108 - Company sponsered - Data in 2010-2011.,,,,,,,,,Alimta,LLY,Lung,5571,
,,,,,,,,,,Camptosar,PFE,Colon,4421,
,Phase 3 adjuvant CRC n=3000 to begin in Q207/Q307 - Cooperative group sponsered - Data in 2011,,,,,,,,,Gemzar,LLY,Lung,3638,
,,,,,,,,,,,,,,
,Phase 2/3 2L SPIRITT n=600,,,,,,,,,,,,,
,Enrolls FOLFOX+Avastin failures to FOLFIRI/Vectibix or FOLFIRI/Avastin,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Phase 3 1L Recurrent or Metastatic SCCH&N ""SPECTRUM""",,,,,,,,,,,,,
,"n=650, to begin Q2/Q3 2007. Completed enrollment Q109. Data in 2009 or 2010",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Phase 2 1L Locally Advanced SCCHN,,,,,,,,,2008-02-01 00:00:00,10414,,,
,"n=150 Vectibix + Chemo, to begin in 2H 2007. Data in 2010-2011",,,,,,,,,2008-03-01 00:00:00,12661,,,
,,,,,,,,,,2008-04-01 00:00:00,10387,,,
,Phase 2 1L Locally Advanced SCCHN,,,,,,,,,,,,,
,"n=150 Vectibix, to begin in 2H 2007. Data in 2010-2011",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Phase 2 3L mCRC,,,,,,,,,,,,,
,"ECOG 0-1, 3L, egfr stratification",,,,,,,,,,,,,
,"95% rash, 23% fatigue, 20% diarrhea",,,,,,,,,,,,,
,"Week 8 RR 9%, 10% ORR, 38% SD",,,,,,,,,,,,,
,"5.2m duration of response, 7.9m median OS",,,,,,,,,,,,,
,reduced rate of tumor progression by 48%,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Phase 1/2 706+pmab studies,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Abstract 3547, 3548 at ASCO - demonstrates PFS/RR similar independent of EGFr status",,,,,,,,,,,,,
,,"250 study had patients <1% EGFr+ cells, 3/23 PRs, 7/23 SD, 10/23 DC (43%). Median PFS 13.3wks",,,,,,,,,,,,
,,"167 study had patients >10% EGFr+ cells, 3/39 PRs, 8/39 SD, median PFS 7.6wks.",,,,,,,,,,,,
,,,,,,,,,,,,,,
,IMCL '025 proving survival benefit in 3L - does AMGN have such a study?,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Study 408 pivotal,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Japanese Phase 2 study n=50,,,,,,,,,,,,,
,Data in 2008 - only data other than pacce in 2007-2008!,,,,,,,,,,,,,
,Still enrolling as of Q4 2006 call.,,,,,,,,,,,,,
