Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2867.2033393762117,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,Name,Ticker,Price,MC,Layer,Type,Originator,Blockchain,Founded,Layer 1
,139.0,Pundi X (New),PUNDIX,0.4172,0.107836831,,,,,,
,140.0,Function X,FX,0.2636,0.10767146,,,,,,
,141.0,DAO Maker,DAO,1.52,0.107569219,,,,,,
,142.0,Dent,DENT,0.001084,0.107357832,,,,,,
,143.0,Status,SNT,0.03085,0.107066024,,,,,,
,144.0,Ardor,ARDR,0.1072,0.107044131,,,,,,
,145.0,Constellation,DAG,0.08201,0.103903352,,,,,,
,146.0,Spell Token,SPELL,0.001077,0.103753708,,,,,,
,147.0,Raydium,RAY,0.8465,0.103631457,,,,,,
,148.0,Telcoin,TEL,0.001665,0.102642196,,,,,,
,149.0,sUSD,SUSD,1,0.102470709,,,,,,
,150.0,Bitcoin Standard Hashrate Token,BTCST,8.38,0.102306769,,,,,,
,151.0,VeThor Token,VTHO,0.002218,0.1012083,,,,,,
,152.0,Vulcan Forged PYR,PYR,4.23,0.10117152,,,,,,
,153.0,API3,API3,1.79,0.101086226,,,,,,
,154.0,WazirX,WRX,0.262,0.100043591,,,,,,
,155.0,HEX,HEX,0.04284,,,,,,,
,156.0,,,,,,,,,,
,157.0,Math,MATH,0.1939,22.223451,2,Wallet,,Ethereum,,
,158.0,,,,,,,,,,
,159.0,,,,,,,,,,
,160.0,,,,,,,,,,
,161.0,,,,,,,,,,
