Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169
,Actonel (ROW),,,,,,,,,89,91,84,87,78,82,79,81,75,87,85,83,68,69,62,65,60,64,58,56,48,,,,,,,,,24,23,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,320,330,264,238,214.20000000000002,192.78000000000003,173.50200000000004,156.15180000000004,140.53662000000003,126.48295800000002,113.83466220000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zaltrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,P3,P3,P3,50.0,100.0,200.0,300.0,400.0,500.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxotere,,,,,,,,,430,456,429,437,449,474,475,476,484,503,505,541,534,584,526,533,531,598,537,456,382,204,194,184,,,,,,114,84,,,67,,,,,,,,,,,,,,,,,,,47,,,,39,39,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1874,2033,2177,2122,848.8000000000001,424.40000000000003,318.3,238.72500000000002,179.04375000000002,134.2828125,100.71210937500001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Auvi-Q (epinephrine),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lasix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Targocid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,37,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orudis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,36,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cordarone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,33,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Oncology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,,,61,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lyxumia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Copaxone,,,,,,,,,263,271,262,273,289,307,301,280,317,103,100,102,113,118,118,118,131,131,125,126,114,114,114,114,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069,1177,622,467,513,538.65,565.5825,593.861625,296.9308125,148.46540625,74.232703125,37.1163515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTC,,,,,,,,,,,,,,,,,,,,,329,311,356,405,491,578,576,572,712,712,712,712,,,,,,729,742,,,816,,,,,,,,,,,,,,,,,,,1256,,,,1300,1024,1041,1029,1113,1089,1155,1111,1328,1265,1271,1216,1495,1225,1245,"1,215",1525,1306,1271,,,0,0,0,,,,,,,,,1401,2217,2261.34,2306.5668,2352.698136,2399.75209872,2447.7471406944,2496.702083508288,2546.6361251784538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industrials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,192,208,220,183,133,127,177,135,145,126,176,157,121,126,124,103,103,103,103,,,,,,,,,,,,,,,,,,,,,,,,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Generics,,,,,,,,,,,,,,,,,,,,,93,284,302,333,343,381,390,420,414,414,414,414,,,,,,300,424,,,466,,,,,,,,,,,,,,,,,,,282,,,,270,224,219,219,206,188,172,133,,,,,,,,,,,,,,,,,,,,,,,,,1012,1534,1564.68,1595.9736,1627.893072,1660.4509334400002,1693.6599521088003,1727.5331511509764,1762.083814173996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,2258,2131,2033,2129,2127,2026,1962,2088,2049,2005,1949,2029,1565,1534,1486,1522,1484,1576,1510,1494,1479,1479,1479,1479,,,,,,1074,1017,,,946,,,,,,,,,,,,,,,,,,,848,,,,1233,1023,1056,1055,1090,1043,1064,995,1187,1133,,,,,,,,,,,,,,,,,,,,8551,8203,8032,6107,6064,5760.8,5472.76,5199.122,4939.1659,4692.207605,4457.597224749999,4234.717363512499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaccines,,,,,,,,,512,568,647,806,567,619,943,649,548,657,947,709,627,712,1046,1098,944,748,1226,890,602,748,1226,890,,,,,,760,1300,,,718,,,,,,,,,,,,,,,,,,,873,,,,909,927,"2,077","2,060",915,"1,022","2,422","1,964","1,020","1,178",,,,,,,,,,,,,,,,,,,,2533,2778,2861,3483,3808,3960.32,4079.1296,4201.503488,4327.548592640001,4457.3750504192,4591.096301931776,4728.82919098973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Polio Vaccines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484,575,553,494,533,520,563,543,613,589,640,443,537,617,577,434,636,712,760,632,668,668,668,668,,,,,,,,,,,,,,,,,,,,,,,,2740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,137,410,182,18,645,841,284,284,284,284,,,,,,,,,,,,,,,,,,,,,,,,1686.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meningitis Vaccines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,89,214,125,128,186,158,91,112,153,328,110,249,270,409,242,286,296,485,249,302,302,302,302,,,,,,,,,,,,,,,,,,,,,,,,1316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Booster Vaccines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,78,151,123,100,106,253,124,109,152,178,148,124,150,185,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Travel Vaccines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,55,71,76,59,74,82,91,98,145,146,121,194,87,24,20,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flu Vaccines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,116,1065,1228,77,119,1339,1093,66,115,1994,802,63,99,1766,741,73,115,1913,454,73,115,1913,454,,,,,,,,,,,,,,,,,,,,,,,,2555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Vaccines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,14,23,14,18,17,27,22,22,24,29,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Animal,,,,,,,,,,,,,,,,,,,,,,,,,513,,,,594,594,594,594,,,,,,529,458,,,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2376.0,2494.8,2619.5400000000004,2750.5170000000007,2888.0428500000007,3032.444992500001,3184.067242125001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Revs,221,286,,,243,305,,,,,241,228,256,291,298,310,284,286,312,367,344,359,372,368,390,408,438,415,413,413,413,413,,,,,,83,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5919,6277,,,6417,6687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Revenues,6140,6563,,,6660,6992,,,7035,7081,6901,7356,7177,6939,7025,6911,6919,6689,6853,7089,7107,7442,7400,7361,7898,7783,7821,7395,7779,7875,7853,7495.4,54,0,0,0,0,8073,8502,,,8075,,,,,,,,,,,,,,,,,,,8391,0,0,0,8973,8207,9479,9382,8591,8744,10432,9994,9673,10116,12482,10724,10221,9965,11964,9704,10464,10745,13439,10563,9896,10328.43,12260.529999999999,10767.89,,,,,,28373,28052,27550,29310,30415,30145.23,29130.449300000004,27509.208572000003,26261.69246577,25739.669793202305,24572.232721612385,22307.74432112029,,,,,,,41109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,1625,1754,,,1697,1721,,,,,1840,1957,1864,1840,1903,1964,1889,1726,1793,1927,1767,1833,2028,2225,2025,2058,2296,2310,2362,1890,1884.7200000000003,1798.8959999999997,,,,,,2672,2873,,,,,,,,,,,,,,,,,,,,,,,,,,2504,2429,2759,3085,2389,2557,2841,3050,2499,2623,3175,3003,2438,2546,3106,2752,2770,2771,3366,2720,2209,,,,,,,,,,,6086,6410,6995.450000000001,7234.855199999998,6991.307832000002,6877.302143000001,6565.4231164425,6434.917448300577,6143.058180403095,5576.936080280073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,4515,4809,,,4963,5271,,,,,5302,5627,5569,5390,5420,5257,5314,5249,5372,5529,5684,5968,5744,5504,6263,6133,5963,5500,5830,5985,5968.28,5696.504,,,,,,5401,5629,,,,,,,,,,,,,,,,,,,,,,,,,,6469,5778,6720,6297,6202,6187,7591,6944,7174,7493,9307,7721,7783,7419,8858,6952,7694,7974,10073,7843,7687,,,,,,,,,,,21464,22900,23419.55,22910.3748,22139.141468,20631.906429000002,19696.2693493275,19304.752344901728,18429.17454120929,16730.80824084022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,920,989,,,923,979,,,,,1075,1211,1081,1101,1084,1271,1089,1091,1089,1306,1152,1108,1109,1214,1110,1080,1085,1126,1100,,,,,,,,,1186,1183,,,,,,,,,,,,,,,,,,,,,,,,,,1340,1352,1321,1516,1267,1396,1443,1585,1489,1658,1736,1823,1563,1630,1663,1872,1719,1704,1852,2257,1808,,,,,,,,,,4537,4575,4583,4401,1100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A,1906,2005,,,1920,2029,,,,,1806,2153,1873,1931,1754,1996,1783,1789,1651,1945,1732,1895,1707,1991,1701,1958,1851,2057,1933,,,,,,,,,2309,2016,,,,,,,,,,,,,,,,,,,,,,,,,,2342,2265,2182,2602,2194,2337,2267,2758,2379,2574,2644,2895,2607,2575,2579,2931,2605,2655,2681,2648,2200,,,,,,,,,,7554,7168,7325,7567,1933.0,1933.0,1933.0,1933.0,1933.0,1933.0,1933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,-151,-84,,,-67,-9,,,,,2881,3364,2954,3032,2838,3267,2872,2880,2740,3251,2884,3003,2816,3205,2811,3038,2936,3183,3033,0,0,0,0,0,0,0,0,3495,3199,,,,,,,,,,,,,,,,,,,,,,,,,,3682,3617,3503,4118,3461,3733,3710,4343,3868,4232,4380,4718,4170,4205,4242,4803,4324,4359,4533,4905,4008,,,,,,,,,,,11743,11908,11968,3033.0,1933.0,1933.0,1933.0,1933.0,1933.0,1933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,1840,1899,,,2187,2272,,,,,2421,2263,2615,2358,2582,1990,2442,2369,2632,2278,2800,2965,2928,2299,3452,3095,3027,2317,2797,5985,5968.28,5696.504,0,0,0,0,0,1906,2430,,,,,,,,,,,,,,,,,,,,,,,,,,2787,2161,3217,2179,2741,2454,3881,2601,3306,3261,4927,3003,3613,3214,4616,2149,3370,3615,5540,2938,3679,,,,,,,,,,,9721,10992,11451.55,19877.3748,20206.141468,18698.906429000002,17763.2693493275,17371.752344901728,16496.17454120929,14797.808240840219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Financial Expenses,210,183,,,205,99,,,,,43,121,105,-34,18,-13,87,41,-11,-146,104,-218,17,19,363,326,-88,-95,-78,-200,-200,-200,,,,,,-39,-93,,,,,,,,,,,,,,,,,,,,,,,,,,-128,-185,-266,-220,-188,-265,-408,-428,-320,-585,-480,-308,-288,-530,-671,-830,-570,-888,-1103,-923,-826,,,,,,,,,,,0,-78,506,-663.2613312000001,201.37377489600001,1119.7119608263201,2011.5497883685046,2901.4166495648246,3813.7092543158196,4727.65402511445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EBT,1630,1716,,,1982,2173,,,,,2464,2384,2720,2324,2600,1977,2529,2410,2621,2132,2904,2747,2945,2318,3815,3421,2939,2222,2719,5785,5768.28,5496.504,,,,,,1867,2337,,,,,,,,,,,,,,,,,,,,,,,,,,2659,1976,2951,1959,2553,2189,3473,2173,2986,2676,4447,2695,3325,2684,3945,1319,2800,2727,4437,2015,2853,,,,,,,,,,,9721,10914,11957.55,19214.113468800002,20407.515242896003,19818.618389826323,19774.819137696006,20273.168994466552,20309.883795525107,19525.46226595467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,472,475,,,650,652,,,,,743,534,268,695,818,464,733,628,749,559,828,890,837,509,875,943,364,582,779,1619.8000000000002,1615.1184,1539.02112,,,,,,405,563,,,,,,,,,,,,,,,,,,,,,,,,,,542,436,652,432,537,458,737,443,563,506,841,555,627,507,749,451,581,566,737,374,622,,,,,,,,,,,2669,3064,2764,4803.5283672000005,5101.878810724001,4954.654597456581,4943.704784424001,5068.292248616638,5077.470948881277,4881.365566488667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JV,93,140,,,107,162,,,,,116,50,138,210,213,178,234,217,219,220,152,387,294,249,,,285,198,230,230,230,230,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,,,,,,,,,,739,890,1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NI -MI,1251,1381,,,1439,1683,,,,,1837,1900,2590,1839,1995,1691,2030,1999,2091,1793,2228,2244,2402,2058,2940,2478,2860,1838,2170,4395.2,4383.161599999999,4187.48288,,,,,,1462,1774,,,,,,,,,,,,,,,,,,,,,,,,,,2042,1540,2299,1527,2016,1731,2736,1730,2423,2170,3606,2140,2698,2177,3196,868,2219,2161,3778,1641,2231,,,,,,,,,,739,7942,8932,9193.55,14410.585101600002,15305.636432172003,14863.963792369741,14831.114353272005,15204.876745849913,15232.41284664383,14644.096699466001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minority Interest,-67,-74,,,-170,-87,,,,,-100,-103,-112,-99,-111,-97,-115,-105,-111,-110,-121,-111,-114,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,,,,,,,,,,,-419,-419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,1184,1307,,,1269,1596,,,,,1737,1797,2478,1740,1884,1594,1915,1894,1980,1683,2107,2133,2288,1977,2940,2478,2860,1838,2170,4395.2,4383.161599999999,4187.48288,,,,,,1462,1774,,,,,,,,,,,,,,,,,,,,,,,,,,2042,1540,2299,1527,2016,1731,2736,1730,2423,2170,3606,2140,2698,2177,3196,868,2219,2161,3749,1641,2231,,,,,,,,,,,7523,8513,9193.55,14410.585101600002,15305.636432172003,14863.963792369741,14831.114353272005,15204.876745849913,15232.41284664383,14644.096699466001,14497.655732471341,14352.679175146628,14209.152383395161,14067.06085956121,13926.390250965598,13787.126348455942,13649.255084971383,13512.762534121668,13377.634908780452,13243.858559692648,13111.419974095721,12980.305774354763,12850.502716611216,12721.997689445103,12594.77771255065,12468.829935425145,12344.141636070894,12220.700219710185,12098.493217513083,11977.508285337952,11857.733202484573,11739.155870459726,11621.764311755129,11505.546668637577,11390.491201951201,11276.586289931689,11163.820427032371,11052.182222762047,10941.660400534427,10832.243796529083,10723.921358563792,10616.682144978155,10510.515323528372,10405.41017029309,10301.356068590158,10198.342507904255,10096.359082825213,9995.39549199696,9895.441537076991,9796.487121706221,9698.522250489159,9601.537027984268,9505.521657704425,9410.46644112738,9316.361776716107,9223.198158948946,9130.966177359456,9039.65651558586,8949.259950430001,8859.767350925702,8771.169677416445,8683.45798064228,8596.623400835857,8510.6571668275,8425.550595159224,8341.295089207631,8257.882138315555,8175.3033169324,8093.550283763076,8012.614780925444,7932.48863311619,7853.163746785028,7774.632109317177
,EPS,0.8932748051432294,0.9857784830591656,,,0.9504614119407613,1.194820973030024,,,,,1.2885756676557865,1.3322953736654806,1.834061135371179,1.2870774465566979,1.3962795523604832,1.1937392346289224,1.4498788612961842,1.450229709035222,1.5174739423666463,1.289556355834802,1.613941018766756,1.6338567598621219,1.7523167649536646,1.5126243305279266,2.2489099671077795,1.8998696618876025,2.1919068056407114,,1.662580447441005,3.3674532638676062,3.358229849831443,3.2083074471345383,,,,,,1.1028136079052575,1.3403853418964866,,,,,,,,,,,,,,,,,,,,,,,,,,1.6319028210660913,1.2298354895384123,1.8308513179899657,1.2166361246115849,1.6137036740574722,1.3833613042435866,2.1809485850936627,1.3785959040561,1.9396413704771054,1.7348896706108092,2.8767451136816913,1.7065390749601277,2.159609381253502,1.7407644330721255,2.5502713054580273,0.6924058710912572,1.7769058295964126,1.7286617070634351,2.992019154030327,1.3090299936183791,1.8080881757030551,,,,,,,,,,5.7111573689172825,5.746366986842858,6.518751076822942,7.042347564089471,11.038646538862222,11.724264451158211,11.38593896872363,11.360775982998678,11.647081564076638,11.668174481649347,11.217518664691555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,1325.459974,1325.855679,,,1335.141,1335.764969,,,,,1348,1348.8,1351.1,1351.9,1349.3,1335.3,1320.8,1306,1304.8,1305.1,1305.5,1305.5,1305.7,1307,1307.3,1304.3,1304.8,,1305.2,1305.2,1305.2,1305.2,,,,,,1325.7,1323.5,,,,,,,,,,,,,,,,,,,,,,,,,,1251.3,1252.2,1255.7,1255.1,1249.3,1251.3,1254.5,1254.9,1249.2,1250.8,1253.5,1254,1249.3,1250.6,1253.2,1253.6,1248.8,1250.1,1253,1253.6,1233.9,,,,,,,,,,1346.9,1309.1750000000002,1305.925,1305.4666666666665,1305.4666666666665,1305.4666666666665,1305.4666666666665,1305.4666666666665,1305.4666666666665,1305.4666666666665,1305.4666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROIC,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,,,,,,,0.7682944500796985,0.7649537792278412,0.7759509544377874,0.7767689868857184,0.7715302491103203,0.7606713934307625,0.7680300621477092,0.7847211840334878,0.7838902670363345,0.7799407532797291,0.79977486984663,0.8019349637194303,0.7762162162162162,0.7477244939546257,0.7929855659660674,0.7879994860593601,0.7624344712952308,0.7437457741717377,0.7494536572824271,0.76,0.76,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7209405995765072,0.704033142439381,0.7089355417238106,0.6711788531230015,0.721918286578978,0.7075709057639524,0.7276648773006135,0.6948168901340804,0.7416520210896309,0.740707789640174,0.7456337125460664,0.7199738903394256,0.7614714802856863,0.7445057701956849,0.740387830157138,0.7164056059356966,0.735282874617737,0.7421126105165193,0.7495349356350919,0.7424973965729433,0.7767784963621666,,,,,,,,,,0,0.779092558983666,0.7813033094506994,0.77,0.76,0.76,0.75,0.75,0.75,0.75,0.75,,,,,,,,,,,Mat,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
