Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143
,MRR,,,,,,,,,,,,,,,,,151,169,,,182,185,,,,,,,,,,,,,144.0,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subscription,,196.434,245.274,279.44,320.681,334.237,336.208,351.208,344.761,,,,,,486,525,511,563,610,666,620,656,,,,,111.979,188.606,310.031,464.996,642.241,908.757,1342.334,1488.0,1837.0,2350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merchant,,517.907,522.131,698.304,667.966,785.208,787.532,1028.816,858.862,,,,,,1228,1619,1350,1482,1552,2146,1740,2024,,,,,93.254,200.724,363.273,608.233,935.932,2020.734,3269.522,4112.0,5223.0,6530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,714.341,767.405,977.7439999999999,988.6469999999999,1119.445,1123.74,1380.0240000000001,1203.623,,,,,,1714,2144,1861,2045,2162,2812,2360,2680,,,,,205.233,389.33,673.3040000000001,1073.2289999999998,1578.173,2929.491,4611.856,5600.0,7060.0,8880.0,11100.0,13320.0,15984.0,19180.8,23016.96,26469.503999999997,29116.4544,32028.099840000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,,339.307,362.257,473.356,429.931,498.585,514.831,687.365,565.986,,,,,,901,1062,957,1045,1118,1352,1169,1302,,,,,91.978,179.835,295.051,476.962,712.53,1387.971,2130.712,2846.0,3545.0,4408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,375.034,405.14799999999997,504.3879999999999,558.7159999999999,620.8599999999999,608.909,692.6590000000001,637.6370000000001,,,,,,813,1082,904,1000,1044,1460,1191,1378,,,,,113.25500000000001,209.49499999999998,378.2530000000001,596.2669999999998,865.643,1541.52,2481.144,2754.0,3515.0,4472.0,5550.0,6660.0,7992.0,9590.4,11508.48,13234.751999999999,14558.2272,16014.049920000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S&M,,144.85,147.608,154.728,186.223,201.91,237.949,275.475,303.371,,,,,,295,317,361,353,331,348,405,415,,,,,70.374,129.214,225.694,350.069,472.841,602.048,901.557,1230.0,1220.0,1393.0,1434.79,1578.269,1736.0959000000003,1909.7054900000005,1966.9966547000006,2026.0065543410008,2086.786750971231,2149.390353500368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,,133.227,143.427,159.077,175.886,183.557,221.028,273.475,303.661,,,,,,313,311,335,349,332,351,377,394,,,,,39.722,74.336,135.997,230.674,355.015,552.127,854.383,1503.0,1730.0,1367.0,1408.01,1548.8110000000001,1703.6921000000002,1874.0613100000003,1930.2831493000003,1988.1916437790003,2047.8373930923703,2109.2725148851414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G&A,,83.307,51.799,65.395,67.102,77.966,128.722,101.054,108.088,,,,,,137,100,124,60,114,112,109,122,,,,,20.915,43.11,67.719,107.444,153.765,245.343,374.844,708.0,491.0,410.0,422.3,464.53000000000003,510.98300000000006,562.0813,578.943739,596.31205117,614.2014127051,632.627455086253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transaction/Loan Losses,,13.366,11.753,12.647,10.606,17.986,25.311,27.814,20.493,,,,,,34,45,51,42,58,76,75,80,,,,,0.0,0.0,0.0,0.0,25.169,51.849,81.717,135.0,152.0,227.0,233.81,257.19100000000003,282.91010000000006,311.2011100000001,320.5371433000001,330.1532575990001,340.05785532697007,350.2595909867792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,,374.75,354.58699999999993,391.847,439.817,481.419,613.01,677.818,735.6129999999999,,,,,,779,773,871,804,835,887,966,1011,,,,,131.011,246.66000000000003,429.41,688.187,1006.79,1451.367,2212.501,3576.0,3593.0,3397.0,3498.9100000000003,3848.8010000000004,4233.681100000001,4657.049210000001,4796.760686300001,4940.663506889002,5088.883412095671,5241.549914458541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,,0.2839999999999918,50.561000000000035,112.54099999999994,118.89899999999989,139.44099999999992,-4.100999999999999,14.841000000000122,-97.97599999999989,,,,,,34,309,33,196,209,573,225,367,,,,,-17.755999999999986,-37.16500000000005,-51.156999999999925,-91.92000000000019,-141.14699999999993,90.15300000000002,268.6429999999996,-822.0,-78.0,1075.0,2051.0899999999997,2811.1989999999996,3758.3188999999993,4933.350789999999,6711.719313699999,8294.088493110998,9469.343787904329,10772.50000554146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest,,,,,1.957,,,,5.315,,,,,,63,68,79,80,77,72,65,106,,,,,0.0,1.81,9.162,0.0,0.0,0.0,11.863,75.0,241.0,308.0,308.0,308.0,1625.1500150000002,2082.744872775,2679.1130041108754,3477.333751124799,4477.904641884842,5663.420758416922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax,,,,,120.85599999999988,,,,-92.66099999999989,,,,,,97,377,112,276,286,645,290,473,,,,,-17.755999999999986,-35.35500000000005,-41.994999999999926,-91.92000000000019,-141.14699999999993,90.15300000000002,280.5059999999996,-747.0,163.0,1383.0,2359.0899999999997,3119.1989999999996,5383.4689149999995,7016.095662774998,9390.832317810873,11771.422244235797,13947.248429789171,16435.920763958384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,0.111,,,,0,,,,,,10,25,17,32,32,128,0,173,,,,,0.0,0.0,0.0,0.0,0.0,0.0,225.933,163.0,-53.0,0.0,235.909,467.8798499999999,807.5203372499999,1052.4143494162497,1408.624847671631,1765.7133366353694,2092.0872644683755,2465.3881145937576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,,,,,120.74499999999988,,,,-92.66099999999989,,,,,,87,352,95,244,254,517,290,300,,,,,-17.755999999999986,-35.35500000000005,-41.994999999999926,-91.92000000000019,-141.14699999999993,90.15300000000002,54.57299999999958,-910.0,216.0,1383.0,2123.1809999999996,2651.31915,4575.9485777499995,5963.681313358748,7982.207470139242,10005.708907600427,11855.161165320796,13970.532649364626,14529.353955339211,15110.52811355278,15714.949238094892,16343.547207618689,16997.289095923436,17677.18065976037,18384.26788615079,19119.63860159682,19884.424145660694,20679.801111487122,21506.99315594661,22367.272882184476,23261.963797471857,24192.442349370733,25160.140043345564,26166.545645079386,27213.207470882564,28301.735769717867,29433.805200506584,30611.157408526848,31835.60370486792,33109.02785306264,34433.38896718514,35810.72452587255,37243.15350690745,38732.87964718375,40282.1948330711,41893.48262639395,43569.221931449705,45311.9908087077,47124.47044105601,49009.44925869825,50969.82722904618,53008.620318208035,55128.96513093636,57334.12373617382,59627.488685620774,62012.58823304561,64493.09176236743,67072.81543286213,69755.72805017662,72545.95717218368,75447.79545907103,78465.70727743387,81604.33556853123,84868.50899127248,88263.24935092338,91793.77932496031,95465.53049795872,99284.15171787707,103255.51778659216,107385.73849805584,111681.16803797807,116148.4147594972,120794.35134987709,125626.12540387218,130651.17042002708,135877.21723682818,141312.3059263013,146964.79816335338,152843.3900898875,158957.12569348302,165315.41072122235,171928.02715007126,178805.1482360741,185957.35416551708,193395.6483321378,201131.4742654233,209176.73323604025,217543.80256548186,226245.55466810113,235295.37685482518,244707.1919290182,254495.47960617894,264675.2987904261,275262.3107420432,286272.80317172495,297723.715298594,309632.6639105377,322017.97046695923,334898.68928563764,348294.63685706316,362226.4223313457,376715.4792245995,391784.0983935835,407455.46232932684,423753.6808224999,440703.82805539994,458331.98117761593,476665.2604247206,495731.87084170943,515561.1456753778,536183.5915023929,557630.9351624886,579936.1725689882,603133.6194717477,627258.9642506175,652349.3228206423
,EPS,,,,,0.9531918954287735,,,,-0.7353285095055134,,,,,,0.06713842662847426,0.2713336933479221,0.07309118367287354,0.1877048580722835,0.1951443392634553,0.3960987955346614,0.22172353235713924,0.2291836609852704,,,,,-0.028770466814434757,-0.04209500011055078,-0.043847606539320974,-0.08698627834043864,-0.12487964761231403,0.07302009502842118,0.042847810267103825,-0.7186471494262604,0.1667295266571509,1.0626119055959908,1.6313213364679688,2.037110118817529,3.5158766725323147,4.582124920285858,6.133035929650913,7.6877696378482065,9.108774690548893,10.734095676596061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,,,126.674388,,,,126.013066,,,,,,1295.830188,1297.295576,1299.746361,1299.913079,1301.600656,1305.229922,1307.935143,1308.993838,,,,,617.16065,839.88597,957.74897,1056.71839,1130.26424,1234.63274,1273.64735,1266.268155,1295.511385,1301.50998,1301.50998,1301.50998,1301.50998,1301.50998,1301.50998,1301.50998,1301.50998,1301.50998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue Growth,,,,,,0.5671017063279302,0.4643376053061943,0.4114369405488556,0.2174446491012465,,,,,,,,,,0.26137689614935833,0.31156716417910446,0.2681354110693175,0.3105134474327629,,,,,,0.8970146126597573,0.7293915187630033,0.5939738958924938,0.4704904545069135,0.856254669164914,0.5742857718286214,0.21426167686068265,0.2607142857142857,0.2577903682719547,0.25,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.1499999999999999,0.10000000000000009,0.10000000000000009,,,Maturity,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMV Growth,,,,,,,,,0.15672166080995353,,,,,,,,,,,,,,,,,,,,,,,,1.0438439860139863,0.12434398061142304,0.1964983998336436,0.2389258615573735,0.25,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.10000000000000009,0.10000000000000009,,,Discount,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,0.5651319429482919,,,,0.5297647186868314,,,,,,,,,,,,,,,,,,0.5518362056784241,0.5380910795469139,0.5617863550491309,0.5555822662264996,0.548509574045431,0.5262074537863404,0.5379925132094323,0.49178571428571427,0.4978753541076487,0.5036036036036036,0.5,0.5,0.5,,,,,,,,ROIC,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Margin,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08651630098473435,-0.09545886523001067,-0.07597905255278435,-0.08564807697145735,-0.08943696286782243,0.030774288093050984,0.05825051779587211,-0.1467857142857143,-0.01104815864022663,0.12105855855855856,0.18478288288288286,0.21105097597597594,0.23513006131131126,,,,,,,,NPV,258789.5992493065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income y/y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5351995661605202,0.24874852874060216,0.7259139012932485,,,,,,,,Share,199.86519558568216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Take Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034143251748251745,0.02629908926466739,0.028402318846460106,0.02992666694926031,0.03038234539389274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,,,,,,,,,,11477,,,,,,,,,,,,,,,,11477.0,13600.181,16251.50015,20827.44872775,26791.13004110875,34773.33751124799,44779.04641884842,56634.20758416921,70604.74023353384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AR,,,,,,,,,,,,,,,,,,,,342,,,,,,,,,,,,,,,,342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loans,,,,,,,,,,,,,,,,,,,,1224,,,,,,,,,,,,,,,,1224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OCA,,,,,,,,,,,,,,,,,,,,209,,,,,,,,,,,,,,,,209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PP&E,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leases,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Goodwill,,,,,,,,,,,,,,,,,,,,474,,,,,,,,,,,,,,,,474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DT+Other,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assets,,,,,,,,,,,,,,,,,,,,13924,,,,,,,,,,,,,,,,13924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP+DT,,,,,,,,,,,,,,,,,,,,810,,,,,,,,,,,,,,,,810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DR,,,,,,,,,,,,,,,,,,,,430,,,,,,,,,,,,,,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lease,,,,,,,,,,,,,,,,,,,,208,,,,,,,,,,,,,,,,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
