Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,Dropped epratuzumab,,,,,,,,
,Dropped alfimiprase,,,,,,,,
,Dropped PEG-TNF (2nd-gen enbrel),,,,,,,,
,,,,,,,,,
,,Leptin (r-metHuLeptin),Lipodystrophy,Recombinant Protein,2.0,TH.CN?,,,Acquired by AMLN
,,Leptin (r-metHuLeptin),Hypothalamic amenorrhea,Recombinant Protein,2.0,,,,
,,,,,,,,,
,AMG108,RA,possible DYAX collaboration,,,,,,
,AMG131,,,,,,,,
,AMG517,,,,,,,,
,AMG114,,,,,,,,
,AMG076,,,,,,,,
,AMG071,,,,,,,,
