Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,Q108,Q208,Q308,Q408,Q109,Q209,Q309,Q409,Q110,Q210,Q310,Q410,,,,,Notes
,Alli,,,,,,,,,63,,,,,,,,
,Breathe Right,,,,,,,,,21,,,,,,,,
,Cold Sore,,,,,,,,,25,,,,,,,,Acquired Xerclear from Medivir 6/10. NanoBio OTC license in Phase II.
,Nicotine,,,,,,,,,92,,,,,,,,
,Panadol,,,,,,,,,117,,,,,,,,
,Tums,,,,,,,,,26,,,,,,,,
,Other OTC,,,,,,,,,273,,,,,,,,
,OTC,,,,,,,,,617,,,,,,,,
,Aquafresh,,,,,,,,,123,,,,,,,,
,Biotene,,,,,,,,,7,,,,,,,,
,Denture,,,,,,,,,76,,,,,,,,Zinc denture adhesive scare in 2010.
,Sensodyne,,,,,,,,,133,,,,,,,,"NovaMin, XRAY relationship"
,Other Oral,,,,,,,,,42,,,,,,,,
,Oral,,,,,,,,,381,,,,,,,,
,Horlicks,,,,,,,,,87,,,,,,,,
,Lucozade,,,,,,,,,82,,,,,,,,Sports/energy drink brand. Launching in China with Uni-President China Holdings as of 11/28/09.
,Ribena,,,,,,,,,42,,,,,,,,
,Other Nutritional,,,,,,,,,22,,,,,,,,
,Nutritional,,,,,,,,,233,,,,,,,,Acquired Maxinutrition 12/13/2010.
,Consumer,,,,,,,,,1231,,,,,,,,
,,,,,,,,,,,,,,,,,,
,USA,,,,,,,,,246,,,,,,,,
,Europe,,,,,,,,,471,,,,,,,,
,ROW,,,,,,,,,514,,,,,,,,
,Consumer,,,,,,,,,1231,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,CER,,,,,,,,,0.09,,,,,,,,
,US CER,,,,,,,,,0.03,,,,,,,,
,Europe CER,,,,,,,,,0.09,,,,,,,,
,ROW CER,,,,,,,,,0.13,,,,,,,,
