Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Brand Name,"Tykerb, Tyverb in Europe, fka GW572016.",,,,,,,,,
,Generic Name,lapatinib ditosyle,,,,,,,,,
,Mechanism,"small molecule, selective dual competitive inhibitor of ErbB1 and ErbB2 tyrosine kinases",,,,,,,,,
,Administration,Oral,,,,,,,,,
,Competition,Can enter the brain (unlike Herceptin). Oral vs qm infusion (Herceptin). No HF? (Herceptin),,,,,,,,,
,Timeline,3/13/2007 US approval. 6/10/2008 EU approval.,,,,,,,,,
,Clinical Studies,,,,,,,,,,
,,Phase III paclitaxel+- Tykerb in 1L HER2-positive mBC,,,,,,,,,
,,27.8m vs 20.5m mOS.,,,,,,,,,
,,9.7m vs. 6.5m PFS.,,,,,,,,,
,,Asian Pacific region.,,,,,,,,,
,,,,,,,,,,,
,,Phase III NeoALTTO Tykerb vs Herceptin vs Tykerb+Herceptin,,,,,,,,,
,,pCR of 51.3% for combination versus 24.7% for Tykerb versus 29.5% for Herceptin.,,,,,,,,,
,,,,,,,,,,,
,,"Phase III ""GeparQuinto"" n=620 Herceptin versus Lapatinib in HER2-positive neo-adjuvant",,,,,,,,,
,,31.3% PCR for Herceptin versus 21.7% for Tykerb.,,,,,,,,,
,,,,,,,,,,,
,,Phase III Tykerb versus Tykerb+Herceptin n=296 ErbB2-positive 4L+,,,,,,,,,
,,"HR=0.74, p=0.03, 14 MOS versus 9.5 MOS monotherapy.",,,,,,,,,
,,,,,,,,,,,
,,Pivotal III,,,,,,,,,
,,Indication,"Herceptin-relapsed, HER2+ mBC",,,,,,,,
,,Cohorts,lapatinib+capecitabine vs capecitabine alone.,,,,,,,,
,,Results,8.5m vs 4.5m TTP. Interim analysis halted study 4/2006.,,,,,,,,
,,,,,,,,,,,
,,"p1 Lapatinib+Tras - Storniolo, ASCO 05 #559",,,,,,,,,
,,heavily pretreated HER2+ MBC: 2-3+,,,,,,,,,
,,750-1500mg qd with qw tras,,,,,,,,,
,,"n=48, 27 evaluable. 1CR 8mo duration. 5PR, 2-7mo duration, 10SD 1-5mo duration. 11 PD",,,,,,,,,
,,,,,,,,,,,
,,p1 Lapatinib+Letrozole - Chu ASCO 2005 #3001,,,,,,,,,
,,"n=39, 18 breast, 16 ovarian, 5 other. KPS 70% or greater, advanced disease with life expectancy at least 12 weeks",,,,,,,,,
,,"3/18 BC with SD >6 months (8, 8, 6 mo). 5, 3, 3 prior chemos",,,,,,,,,
,,1/2 endometrial had PR (SD for 7 mo then PR for 6 mo),,,,,,,,,
,,1/16 ovarian had SD >6 months w/ 3 prior chemos,,,,,,,,,
,,,,,,,,,,,
,,EGF30008 letrozole +- lapatinib phase 3 n=760,,,,,,,,,
,,,,,,,,,,,
,,CALGB 40302: fulvestrant +- lapatinib phase 3 n=288,,,,,,,,,
,,,,,,,,,,,
,,Lapatinib +- tamoxifen p2,,,,,,,,,
,,,,,,,,,,,
,,p2 lapatinib in MBC with brain mets - harvard,,,,,,,,,
,,,,,,,,,,,
,,Tykerb in trastuzumab-resistant breast cancer - late-breaking data at ASCO 2006,,,,,,,,,
,,p2 data in brain mets in patients with HER2-positive BC,,,,,,,,,
,,p2 tykerb monotherapy data in relapsed/refractory inflammatory BC,,,,,,,,,
,,cardiac function in n=2812 treated patients. 1.3% had decrease in LVEF.,,,,,,,,,
,,p3 RCC data for patients with high tumor EGFR expression,,,,,,,,,
,,Tykerb failed in RCC??,,,,,,,,,
,,BCIG will run adjuvant study in n=8000???,,,,,,,,,
,,,,,,,,,,,
,,"EGF104900 - Herceptin+Tykerb vs Tykerb in refractory BC - n=270, started 11/05, results Q2 2007",,,,,,,,,
,,"1L mBC Taxol+- Tykerb n=570, start 12/03, results Q406 - EGF30002 - does not differentiate for HER2 status. Data at ASCO 2007?",,,,,,,,,
,,"1L mBC Femara+- Tykerb, n=1280, start 11/03, results Q307 - EGF30008",,,,,,,,,
,,"1L mBC HER2+ Taxol+Herceptin+-Tykerb, n=740, 11/05, results 2009 - EGF104383",,,,,,,,,
