Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Name,Ticker,Price,MC,NC,EV,SO,Update,Last
x,Verizon,VZ,38.41,177400,-139820,317220,4223,Q322,2022-12-26 00:00:00
x,AT&T,T,18.31,130495.37,-127364,257859.37,7127,Q322,2022-12-26 00:00:00
x,T-Mobile US,TMUS,,182710,,,,,
x,Comcast,CMCSA,39.25,148034.4453705,-82892,230926.4453705,3771.578226,Q224,2024-09-17 00:00:00
x,China Mobile,941 HK,,100000,,,,,
x,American Tower,AMT,261.19,,,,,,
x,NTT,9432 JP,,,,,,,
x,Deutsche Telekom,DTE GR,,100000,,,,,
x,Charter,CHTR,,,,,,,
x,Crown Castle,CCI,,,,,,,
x,KDDI,9433 JP,,,,,,,
x,Naspers,NPN SJ,,,,,,,
x,Emirates Telecom (Etisalat),EAND UH,,,,,,,
x,America Movil,AMXB MM,,55000,,,,,
x,Saudi Telecom,STC AB,,50000,,,,,
x,Oriental Land,4661 JP,,,,,,,
x,China Telecom,728 HK,,54843.333333333336,,,,,
x,Bharti Airtel,BHARTI IN,,50000,,,,,
x,China Unicom Hong Kong,762 HK,,,,,,,
x,China Unicom,600050 CH,,,,,,,
x,BCE,BCE CN,,44000,,,,,
x,East Money,300059 CH,,,,,,,
x,Vodafone,VOD LN,,35000,,,,,
x,SBA Communications,SBAC,,,,,,,
x,Chunghwa Telecom,2412 TT,,,,,,,
x,Singapore Telecom,ST SP,,,,,,,
x,Telstra,TLS AU,,31000,,,,,
x,Telus,T CN,,31000,,,,,
x,Cellnex,CLNX SM,,24000,,,,,
x,Orange,ORA FP,,27000,,,,,
x,Swisscom,SCMN SW,,26000,,,,,
x,Advanced Info Service,ADVANC  TB,,,,,,,
x,Telekom Indonesia,TLKM IJ,,,,,,,
x,Telefonica,TEF SM,,,,,,,
x,Rogers,RCI/B CN,,,,,,,
x,China Tower,788 HK,,,,,,,
,AST Mobile,ASTS,29.62,7979.420660000001,85.28099999999998,7894.139660000001,269.39300000000003,,
,Lumen,LUMN,6.21,,,,,,
