Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
,Generic Name,MAGE-A3 Cancer Immunotherapy (ASCI),
,Indication,NSCLC,
,Mechanism,Immunotherapy that combines tumor antigens with adjuvants. MAGE-A3 is present in 35-50% of early NSCLC,
,Timeline,final phase 2 results later this year. phase 3 begins in early 2007,
,Clinical Trials,,
,,Phase,II
,,Population,adjuvant stage IB/II MAGE-A3-positive completed resection NSCLC
,,Results,"ASCO 2006, Abstract #7019"
,,,33% reduction in risk of cancer recurrence (p=0.121)
,,,Analysis conducted at 21 months. 37/122 (30.3%) of MAGE patients relapsed. 25/60 of placebo (41.7%)
,,Safety,2/182 withdrew due to possibly drug-related events
